,ip,time,request,status,size,referer,user_agent
10,83.149.9.216,2015-05-17 10:05:46+00:00,GET /presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg HTTP/1.1,200,2126,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
11,83.149.9.216,2015-05-17 10:05:11+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard2.png HTTP/1.1,200,394967,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
12,83.149.9.216,2015-05-17 10:05:19+00:00,GET /presentations/logstash-monitorama-2013/images/apache-icon.gif HTTP/1.1,200,8095,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
13,83.149.9.216,2015-05-17 10:05:33+00:00,GET /presentations/logstash-monitorama-2013/images/nagios-sms5.png HTTP/1.1,200,78075,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
14,83.149.9.216,2015-05-17 10:05:00+00:00,GET /presentations/logstash-monitorama-2013/images/redis.png HTTP/1.1,200,25230,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
15,83.149.9.216,2015-05-17 10:05:25+00:00,GET /presentations/logstash-monitorama-2013/images/elasticsearch.png HTTP/1.1,200,8026,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
16,83.149.9.216,2015-05-17 10:05:59+00:00,GET /presentations/logstash-monitorama-2013/images/logstashbook.png HTTP/1.1,200,54662,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
17,83.149.9.216,2015-05-17 10:05:30+00:00,GET /presentations/logstash-monitorama-2013/images/github-contributions.png HTTP/1.1,200,34245,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
18,83.149.9.216,2015-05-17 10:05:53+00:00,GET /presentations/logstash-monitorama-2013/css/print/paper.css HTTP/1.1,200,4254,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
19,83.149.9.216,2015-05-17 10:05:24+00:00,GET /presentations/logstash-monitorama-2013/images/1983_delorean_dmc-12-pic-38289.jpeg HTTP/1.1,200,220562,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
20,83.149.9.216,2015-05-17 10:05:54+00:00,GET /presentations/logstash-monitorama-2013/images/simple-inputs-filters-outputs.jpg HTTP/1.1,200,1168622,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
21,83.149.9.216,2015-05-17 10:05:33+00:00,GET /presentations/logstash-monitorama-2013/images/tiered-outputs-to-inputs.jpg HTTP/1.1,200,1079983,"""http://semicomplete.com/presentations/logstash-monitorama-2013/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
22,83.149.9.216,2015-05-17 10:05:56+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""-""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36"
23,24.236.252.67,2015-05-17 10:05:40+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""-""",Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
24,93.114.45.13,2015-05-17 10:05:14+00:00,GET /articles/dynamic-dns-with-dhcp/ HTTP/1.1,200,18848,"""http://www.google.ro/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CCwQFjAB&url=http%3A%2F%2Fwww.semicomplete.com%2Farticles%2Fdynamic-dns-with-dhcp%2F&ei=W88AU4n9HOq60QXbv4GwBg&usg=AFQjCNEF1X4Rs52UYQyLiySTQxa97ozM4g&bvm=bv.61535280,d.d2k""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
25,93.114.45.13,2015-05-17 10:05:04+00:00,GET /reset.css HTTP/1.1,200,1015,"""http://www.semicomplete.com/articles/dynamic-dns-with-dhcp/""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
26,93.114.45.13,2015-05-17 10:05:45+00:00,GET /style2.css HTTP/1.1,200,4877,"""http://www.semicomplete.com/articles/dynamic-dns-with-dhcp/""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
27,93.114.45.13,2015-05-17 10:05:14+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""-""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
28,93.114.45.13,2015-05-17 10:05:17+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""http://www.semicomplete.com/articles/dynamic-dns-with-dhcp/""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
29,93.114.45.13,2015-05-17 10:05:21+00:00,GET /images/web/2009/banner.png HTTP/1.1,200,52315,"""http://www.semicomplete.com/style2.css""",Mozilla/5.0 (X11; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
30,66.249.73.135,2015-05-17 10:05:40+00:00,GET /blog/tags/ipv6 HTTP/1.1,200,12251,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
31,50.16.19.13,2015-05-17 10:05:10+00:00,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872,"""http://www.semicomplete.com/blog/tags/puppet?flav=rss20""",Tiny Tiny RSS/1.11 (http://tt-rss.org/)
32,66.249.73.185,2015-05-17 10:05:37+00:00,GET / HTTP/1.1,200,37932,"""-""",Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
33,110.136.166.128,2015-05-17 10:05:35+00:00,GET /projects/xdotool/ HTTP/1.1,200,12292,"""http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&sqi=2&ved=0CFYQFjAE&url=http%3A%2F%2Fwww.semicomplete.com%2Fprojects%2Fxdotool%2F&ei=6cwAU_bRHo6urAeI0YD4Ag&usg=AFQjCNE3V_aCf3-gfNcbS924S6jZ6FqffA&bvm=bv.61535280,d.bmk""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
34,46.105.14.53,2015-05-17 10:05:03+00:00,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872,"""-""",UniversalFeedParser/4.2-pre-314-svn +http://feedparser.org/
35,110.136.166.128,2015-05-17 10:05:06+00:00,GET /reset.css HTTP/1.1,200,1015,"""http://www.semicomplete.com/projects/xdotool/""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
36,110.136.166.128,2015-05-17 10:05:03+00:00,GET /style2.css HTTP/1.1,200,4877,"""http://www.semicomplete.com/projects/xdotool/""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
37,110.136.166.128,2015-05-17 10:05:41+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""-""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
38,110.136.166.128,2015-05-17 10:05:32+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""http://www.semicomplete.com/projects/xdotool/""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
39,123.125.71.35,2015-05-17 10:05:46+00:00,GET /blog/tags/release HTTP/1.1,200,40693,"""-""",Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
40,110.136.166.128,2015-05-17 10:05:08+00:00,GET /images/web/2009/banner.png HTTP/1.1,200,52315,"""http://www.semicomplete.com/style2.css""",Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0
41,50.150.204.184,2015-05-17 10:05:46+00:00,GET /images/googledotcom.png HTTP/1.1,200,65748,"""http://www.google.com/search?q=https//:google.com&source=lnms&tbm=isch&sa=X&ei=4-r8UvDrKZOgkQe7x4CICw&ved=0CAkQ_AUoAA&biw=320&bih=441""","Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; LG-MS770 Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
42,207.241.237.225,2015-05-17 10:05:58+00:00,GET /blog/tags/examples HTTP/1.0,200,9208,"""http://www.semicomplete.com/blog/tags/C""",Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
43,200.49.190.101,2015-05-17 10:05:36+00:00,GET /reset.css HTTP/1.1,200,1015,"""-""",
44,200.49.190.100,2015-05-17 10:05:38+00:00,GET /blog/tags/web HTTP/1.1,200,44019,"""-""",QS304 Profile/MIDP-2.0 Configuration/CLDC-1.1
45,200.49.190.101,2015-05-17 10:05:11+00:00,GET /style2.css HTTP/1.1,200,4877,"""-""",
46,200.49.190.101,2015-05-17 10:05:37+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""-""",QS304 Profile/MIDP-2.0 Configuration/CLDC-1.1
47,66.249.73.185,2015-05-17 10:05:00+00:00,GET /reset.css HTTP/1.1,200,1015,"""-""",Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
48,66.249.73.135,2015-05-17 10:05:16+00:00,GET /blog/tags/munin HTTP/1.1,200,9746,"""-""",Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
49,66.249.73.135,2015-05-17 10:05:33+00:00,GET /blog/tags/firefox?flav=rss20 HTTP/1.1,200,16021,"""-""",Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
50,66.249.73.135,2015-05-17 10:05:17+00:00,GET /blog/geekery/eventdb-ideas.html HTTP/1.1,200,11418,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
51,67.214.178.190,2015-05-17 10:05:48+00:00,GET / HTTP/1.0,200,37932,"""http://www.semicomplete.com/""",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0
52,67.214.178.190,2015-05-17 10:05:18+00:00,GET /blog/geekery/installing-windows-8-consumer-preview.html HTTP/1.0,200,8948,"""http://www.semicomplete.com/""",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0
53,207.241.237.220,2015-05-17 10:05:28+00:00,GET /blog/tags/projects HTTP/1.0,200,28370,"""http://www.semicomplete.com/blog/tags/C""",Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
54,46.105.14.53,2015-05-17 10:05:44+00:00,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872,"""-""",UniversalFeedParser/4.2-pre-314-svn +http://feedparser.org/
55,207.241.237.227,2015-05-17 10:05:47+00:00,GET /blog/geekery/soekris-gpio.html HTTP/1.0,200,9587,"""http://www.semicomplete.com/blog/tags/C""",Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
56,91.177.205.119,2015-05-17 10:05:22+00:00,GET /blog/geekery/xvfb-firefox.html HTTP/1.1,200,10975,"""http://en.wikipedia.org/wiki/Xvfb""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
57,91.177.205.119,2015-05-17 10:05:34+00:00,GET /reset.css HTTP/1.1,200,1015,"""http://semicomplete.com/blog/geekery/xvfb-firefox.html""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
58,91.177.205.119,2015-05-17 10:05:37+00:00,GET /style2.css HTTP/1.1,200,4877,"""http://semicomplete.com/blog/geekery/xvfb-firefox.html""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
59,91.177.205.119,2015-05-17 10:05:54+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""http://semicomplete.com/blog/geekery/xvfb-firefox.html""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
60,91.177.205.119,2015-05-17 10:05:31+00:00,GET /images/web/2009/banner.png HTTP/1.1,200,52315,"""http://semicomplete.com/blog/geekery/xvfb-firefox.html""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
61,91.177.205.119,2015-05-17 10:05:32+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""-""",Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Win64; x64; Trident/6.0)
62,66.249.73.185,2015-05-17 10:05:22+00:00,GET /doc/index.html?org/elasticsearch/action/search/SearchResponse.html HTTP/1.1,404,294,"""-""",Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
63,207.241.237.228,2015-05-17 10:05:40+00:00,GET /blog/tags/defcon HTTP/1.0,200,24142,"""http://www.semicomplete.com/blog/tags/C""",Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
64,207.241.237.101,2015-05-17 10:05:51+00:00,GET /blog/tags/regex HTTP/1.0,200,14888,"""http://www.semicomplete.com/blog/tags/C""",Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
65,87.169.99.232,2015-05-17 10:05:59+00:00,GET /presentations/puppet-at-loggly/puppet-at-loggly.pdf.html HTTP/1.1,200,24747,"""https://www.google.de/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
66,209.85.238.199,2015-05-17 10:05:30+00:00,GET /blog/tags/firefox?flav=rss20 HTTP/1.1,200,16021,"""-""",Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 3 subscribers; feed-id=14171215010336145331)
67,209.85.238.199,2015-05-17 10:05:15+00:00,GET /test.xml HTTP/1.1,200,1370,"""-""",Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=11390274670024826467)
68,81.220.24.207,2015-05-17 10:05:13+00:00,GET /blog/geekery/ssl-latency.html HTTP/1.1,200,17147,"""http://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&ved=0CE4QFjAE&url=http%3A%2F%2Fwww.semicomplete.com%2Fblog%2Fgeekery%2Fssl-latency.html&ei=ZdEAU9mGGuWX1AW09IDoBw&usg=AFQjCNHw6zioJpizqX8Q0YpKKaF4zdCSEg&bvm=bv.61535280,d.d2k""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
69,81.220.24.207,2015-05-17 10:05:44+00:00,GET /reset.css HTTP/1.1,200,1015,"""http://www.semicomplete.com/blog/geekery/ssl-latency.html""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
70,81.220.24.207,2015-05-17 10:05:26+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""http://www.semicomplete.com/blog/geekery/ssl-latency.html""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
71,81.220.24.207,2015-05-17 10:05:39+00:00,GET /style2.css HTTP/1.1,200,4877,"""http://www.semicomplete.com/blog/geekery/ssl-latency.html""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
72,81.220.24.207,2015-05-17 10:05:52+00:00,GET /images/web/2009/banner.png HTTP/1.1,200,52315,"""http://www.semicomplete.com/blog/geekery/ssl-latency.html""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
73,81.220.24.207,2015-05-17 10:05:21+00:00,GET /favicon.ico HTTP/1.1,200,3638,"""http://www.semicomplete.com/blog/geekery/ssl-latency.html""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
74,66.249.73.135,2015-05-17 11:05:17+00:00,GET /blog/geekery/vmware-cpu-performance.html HTTP/1.1,200,12908,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
75,46.105.14.53,2015-05-17 11:05:42+00:00,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872,"""-""",UniversalFeedParser/4.2-pre-314-svn +http://feedparser.org/
76,218.30.103.62,2015-05-17 11:05:11+00:00,GET /robots.txt HTTP/1.1,200,,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
77,218.30.103.62,2015-05-17 11:05:46+00:00,GET /robots.txt HTTP/1.1,200,,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
78,218.30.103.62,2015-05-17 11:05:45+00:00,GET /projects/fex/ HTTP/1.1,200,14352,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
79,74.125.40.20,2015-05-17 11:05:59+00:00,GET /?flav=rss20 HTTP/1.1,200,29941,"""-""",FeedBurner/1.0 (http://www.FeedBurner.com)
80,71.212.224.97,2015-05-17 11:05:05+00:00,GET /projects/xdotool/ HTTP/1.1,200,12292,"""http://suckless.org/rocks""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
81,71.212.224.97,2015-05-17 11:05:15+00:00,GET /reset.css HTTP/1.1,200,1015,"""http://www.semicomplete.com/projects/xdotool/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
82,71.212.224.97,2015-05-17 11:05:22+00:00,GET /style2.css HTTP/1.1,200,4877,"""http://www.semicomplete.com/projects/xdotool/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
83,71.212.224.97,2015-05-17 11:05:11+00:00,GET /images/jordan-80.png HTTP/1.1,200,6146,"""http://www.semicomplete.com/projects/xdotool/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
84,71.212.224.97,2015-05-17 11:05:28+00:00,GET /images/web/2009/banner.png HTTP/1.1,200,52315,"""http://www.semicomplete.com/projects/xdotool/""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
85,218.30.103.62,2015-05-17 11:05:17+00:00,GET /projects/xdotool/xdotool.xhtml HTTP/1.1,304,,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
86,108.174.55.234,2015-05-17 11:05:26+00:00,GET /?flav=rss20 HTTP/1.1,200,29941,"""-""",
87,218.30.103.62,2015-05-17 11:05:37+00:00,GET /blog/geekery/c-vs-python-bdb.html HTTP/1.1,200,11388,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
88,121.107.188.202,2015-05-17 11:05:09+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717,"""-""","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
89,218.30.103.62,2015-05-17 11:05:39+00:00,GET /blog/productivity/better-zsh-xterm-title-fix.html HTTP/1.1,200,10185,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
90,218.30.103.62,2015-05-17 11:05:11+00:00,GET /blog/geekery/xvfb-firefox.html HTTP/1.1,200,10975,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
91,218.30.103.62,2015-05-17 11:05:00+00:00,GET /blog/geekery/puppet-facts-into-mcollective.html HTTP/1.1,200,9872,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
92,198.46.149.143,2015-05-17 11:05:10+00:00,GET /blog/geekery/disabling-battery-in-ubuntu-vms.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29 HTTP/1.1,200,9316,"""-""",Tiny Tiny RSS/1.11 (http://tt-rss.org/)
93,198.46.149.143,2015-05-17 11:05:48+00:00,GET /blog/geekery/solving-good-or-bad-problems.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29 HTTP/1.1,200,10756,"""-""",Tiny Tiny RSS/1.11 (http://tt-rss.org/)
94,218.30.103.62,2015-05-17 11:05:28+00:00,GET /blog/geekery/jquery-interface-puffer.html%20target= HTTP/1.1,200,202,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
95,218.30.103.62,2015-05-17 11:05:05+00:00,GET /blog/geekery/ec2-reserved-vs-ondemand.html HTTP/1.1,200,11834,"""-""",Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
96,66.249.73.135,2015-05-17 11:05:31+00:00,GET /blog/web/firefox-scrolling-fix.html HTTP/1.1,200,8956,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
